Models importing done.
Loading Tracker...
Loading Pose Estimator...
Loading Assault Detector...
[AssaultDetector] Loading VGG19 + BiLSTM assault model ...
[AssaultDetector]  Loaded
All models loaded!
Frame 71 - PoseTrack 7: conf=0.517, is_assault=False
Frame 71 - PoseTrack 8: conf=0.525, is_assault=False
Frame 72 - PoseTrack 7: conf=0.518, is_assault=False
Frame 72 - PoseTrack 8: conf=0.525, is_assault=False
Frame 73 - PoseTrack 7: conf=0.518, is_assault=False
Frame 73 - PoseTrack 8: conf=0.524, is_assault=False
Frame 74 - PoseTrack 7: conf=0.517, is_assault=False
Frame 74 - PoseTrack 8: conf=0.522, is_assault=False
Frame 75 - PoseTrack 7: conf=0.518, is_assault=False
Frame 75 - PoseTrack 8: conf=0.520, is_assault=False
Frame 76 - PoseTrack 7: conf=0.519, is_assault=False
Frame 76 - PoseTrack 8: conf=0.520, is_assault=False
Frame 77 - PoseTrack 7: conf=0.520, is_assault=False
Frame 77 - PoseTrack 8: conf=0.519, is_assault=False
Frame 78 - PoseTrack 7: conf=0.518, is_assault=False
Frame 79 - PoseTrack 7: conf=0.519, is_assault=False
Frame 79 - PoseTrack 8: conf=0.518, is_assault=False
Frame 80 - PoseTrack 8: conf=0.516, is_assault=False
Frame 81 - PoseTrack 8: conf=0.518, is_assault=False
Frame 81 - PoseTrack 7: conf=0.520, is_assault=False
Frame 82 - PoseTrack 7: conf=0.521, is_assault=False
Frame 83 - PoseTrack 7: conf=0.525, is_assault=False
Frame 84 - PoseTrack 7: conf=0.524, is_assault=False
Frame 85 - PoseTrack 7: conf=0.524, is_assault=False
Frame 86 - PoseTrack 7: conf=0.524, is_assault=False
Frame 86 - PoseTrack 8: conf=0.522, is_assault=False
Frame 87 - PoseTrack 7: conf=0.523, is_assault=False
Frame 87 - PoseTrack 8: conf=0.522, is_assault=False
Frame 88 - PoseTrack 7: conf=0.523, is_assault=False
Frame 88 - PoseTrack 8: conf=0.522, is_assault=False
Frame 89 - PoseTrack 7: conf=0.521, is_assault=False
Frame 89 - PoseTrack 8: conf=0.521, is_assault=False
Frame 90 - PoseTrack 7: conf=0.521, is_assault=False
Frame 91 - PoseTrack 7: conf=0.521, is_assault=False
Frame 91 - PoseTrack 8: conf=0.522, is_assault=False
Frame 92 - PoseTrack 7: conf=0.520, is_assault=False
Frame 92 - PoseTrack 8: conf=0.522, is_assault=False
Frame 93 - PoseTrack 7: conf=0.521, is_assault=False
Frame 93 - PoseTrack 8: conf=0.522, is_assault=False
Frame 94 - PoseTrack 7: conf=0.520, is_assault=False
Frame 95 - PoseTrack 7: conf=0.520, is_assault=False
Frame 96 - PoseTrack 7: conf=0.520, is_assault=False
Frame 97 - PoseTrack 7: conf=0.521, is_assault=False
Frame 98 - PoseTrack 7: conf=0.521, is_assault=False
Frame 99 - PoseTrack 7: conf=0.522, is_assault=False
Frame 100 - PoseTrack 7: conf=0.521, is_assault=False
Frame 100 - PoseTrack 8: conf=0.521, is_assault=False
Frame 101 - PoseTrack 7: conf=0.519, is_assault=False
Frame 102 - PoseTrack 7: conf=0.520, is_assault=False
Frame 103 - PoseTrack 7: conf=0.519, is_assault=False
Frame 104 - PoseTrack 7: conf=0.520, is_assault=False
Frame 105 - PoseTrack 7: conf=0.520, is_assault=False
